seed,experiment,variant,metric,value
2027,ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.25421602
2027,ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.28409100
2027,ablation,S8_eta0.20_softmax_additive,recall_mse,0.32064754
2027,ablation,S8_eta0.20_softmax_gated,recall_mse,0.29788843
2027,ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.31856608
2027,ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.28997120
2027,ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.35293257
2027,ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.26018447
2027,ablation,S8_eta0.50_softmax_additive,recall_mse,0.31994298
2027,ablation,S8_eta0.50_softmax_gated,recall_mse,0.35849184
2027,ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.25539204
2027,ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.32118678
2027,ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.33501026
2027,ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.32527143
2027,ablation,S16_eta0.05_softmax_additive,recall_mse,0.31242421
2027,ablation,S16_eta0.05_softmax_gated,recall_mse,0.34541467
2027,ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.33548719
2027,ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.34895292
2027,ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.25755745
2027,ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.28037384
2027,ablation,S16_eta0.20_softmax_additive,recall_mse,0.29158700
2027,ablation,S16_eta0.20_softmax_gated,recall_mse,0.31435099
2027,ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.27447388
2027,ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.31843320
2027,ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.31621209
2027,ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.23240699
2027,ablation,S16_eta0.50_softmax_additive,recall_mse,0.27319163
2027,ablation,S16_eta0.50_softmax_gated,recall_mse,0.33281910
2027,ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.23340283
2027,ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.28597128
2027,efficiency,baseline,forward_ms,0.60947484
2027,efficiency,alc,forward_ms,0.61502964
2027,efficiency,alc,slowdown_ratio,1.00911408
2027,efficiency,alc,extra_params,992.00000000
31415,core_adaptation,baseline,recall_mse,0.70201659
31415,core_adaptation,alc,recall_mse,0.39011621
31415,core_adaptation,alc_no_write,recall_mse,0.34023783
31415,core_adaptation,baseline,recall_acc,0.03125000
31415,core_adaptation,alc,recall_acc,0.14062500
31415,core_adaptation,alc_no_write,recall_acc,0.04687500
31415,stability,alc,nan_rate,0.00000000
31415,stability,alc,slot_norm_init,0.00000000
31415,stability,alc,slot_norm_final,0.53150415
31415,stability,alc,slot_norm_max,0.73839688
31415,persistence,alc,save_ok,1.00000000
31415,persistence,alc,load_ok,1.00000000
31415,persistence,alc,slot_max_abs_diff,0.00000000
31415,persistence,alc,behavior_max_abs_diff,0.00000000
31415,trainability,interface_trainable,loss_before,0.09223220
31415,trainability,interface_trainable,loss_after,0.07551746
31415,trainability,interface_frozen,loss_eval,0.09223220
31415,language_benchmark,baseline,recall_mse,1.13916886
31415,language_benchmark,alc,recall_mse,1.05027926
